;S;M;L
00:00;0;0;0
00:15;0;0;0
00:30;0;0;0
00:45;0;0;0
01:00;0;0;0
01:15;0;0;0
01:30;0;0;0
01:45;0;0;0
02:00;0;0;0
02:15;0;0;0
02:30;0;0;0
02:45;0;0;0
03:00;0;0;0
03:15;0;0;0
03:30;0;0;0
03:45;0;0;0
04:00;0;0;0
04:15;0;0;0
04:30;0;0;0
04:45;0;0;0
05:00;0;0;0
05:15;0;0;0
05:30;0;0;0
05:45;0;0;0
06:00;0;0;0
06:15;0;0;0
06:30;0;0;0
06:45;0;0;0
07:00;0.105;0.105;0.105
07:15;0;1.4;1.4
07:30;0.105;0.105;0.105
07:45;0;0;0.105
08:00;0;0.105;3.605
08:15;0;0.105;0
08:30;0.105;0.105;0.105
08:45;0;0.105;0.105
09:00;0;0.105;0.105
09:15;0;0;0
09:30;0.105;0.105;0.105
09:45;0;0;0
10:00;0;0;0
10:15;0;0;0
10:30;0;0.105;0.105
10:45;0;0;0
11:00;0;0;0
11:15;0;0;0
11:30;0.105;0.105;0.105
11:45;0.105;0.105;0.105
12:00;0;0;0
12:15;0;0;0
12:30;0;0;0
12:45;0.315;0.315;0.315
13:00;0;0;0
13:15;0;0;0
13:30;0;0;0
13:45;0;0;0
14:00;0;0;0
14:15;0;0;0
14:30;0;0.105;0.105
14:45;0;0;0
15:00;0;0;0
15:15;0;0;0
15:30;0;0.105;0.105
15:45;0;0;0
16:00;0;0;0
16:15;0;0;0
16:30;0;0.105;0.105
16:45;0;0;0
17:00;0;0;0
17:15;0;0;0
17:30;0;0;0
17:45;0;0;0
18:00;0.105;0.105;0.105
18:15;0.105;0.105;0.105
18:30;0;0.105;0.105
18:45;0;0;0
19:00;0;0.105;0.105
19:15;0;0;0
19:30;0;0;0
19:45;0;0;0
20:00;0;0;0
20:15;0;0;0
20:30;0.42;0.735;0.735
20:45;0;0;0
21:00;0;0;3.605
21:15;0;0.105;0
21:30;0.525;1.4;0.105
21:45;0;0;0
22:00;0;0;0
22:15;0;0;0
22:30;0;0;0
22:45;0;0;0
23:00;0;0;0
23:15;0;0;0
23:30;0;0;0
23:45;0;0;0
